Domain,Area,Element,Months,Year,Unit,Value
"Temperature change","World","Temperature change","Meteorological year","1961","°C","0.207"
"Temperature change","World","Temperature change","Meteorological year","1962","°C","0.034"
"Temperature change","World","Temperature change","Meteorological year","1963","°C","0.159"
"Temperature change","World","Temperature change","Meteorological year","1964","°C","-0.253"
"Temperature change","World","Temperature change","Meteorological year","1965","°C","-0.226"
"Temperature change","World","Temperature change","Meteorological year","1966","°C","0.201"
"Temperature change","World","Temperature change","Meteorological year","1967","°C","-0.114"
"Temperature change","World","Temperature change","Meteorological year","1968","°C","-0.12"
"Temperature change","World","Temperature change","Meteorological year","1969","°C","-0.09"
"Temperature change","World","Temperature change","Meteorological year","1970","°C","0.153"
"Temperature change","World","Temperature change","Meteorological year","1971","°C","-0.092"
"Temperature change","World","Temperature change","Meteorological year","1972","°C","-0.195"
"Temperature change","World","Temperature change","Meteorological year","1973","°C","0.275"
"Temperature change","World","Temperature change","Meteorological year","1974","°C","-0.181"
"Temperature change","World","Temperature change","Meteorological year","1975","°C","0.09"
"Temperature change","World","Temperature change","Meteorological year","1976","°C","-0.311"
"Temperature change","World","Temperature change","Meteorological year","1977","°C","0.271"
"Temperature change","World","Temperature change","Meteorological year","1978","°C","0.004"
"Temperature change","World","Temperature change","Meteorological year","1979","°C","0.225"
"Temperature change","World","Temperature change","Meteorological year","1980","°C","0.33"
"Temperature change","World","Temperature change","Meteorological year","1981","°C","0.439"
"Temperature change","World","Temperature change","Meteorological year","1982","°C","0.078"
"Temperature change","World","Temperature change","Meteorological year","1983","°C","0.452"
"Temperature change","World","Temperature change","Meteorological year","1984","°C","0.12"
"Temperature change","World","Temperature change","Meteorological year","1985","°C","-0.034"
"Temperature change","World","Temperature change","Meteorological year","1986","°C","0.238"
"Temperature change","World","Temperature change","Meteorological year","1987","°C","0.391"
"Temperature change","World","Temperature change","Meteorological year","1988","°C","0.549"
"Temperature change","World","Temperature change","Meteorological year","1989","°C","0.326"
"Temperature change","World","Temperature change","Meteorological year","1990","°C","0.636"
"Temperature change","World","Temperature change","Meteorological year","1991","°C","0.458"
"Temperature change","World","Temperature change","Meteorological year","1992","°C","0.183"
"Temperature change","World","Temperature change","Meteorological year","1993","°C","0.346"
"Temperature change","World","Temperature change","Meteorological year","1994","°C","0.501"
"Temperature change","World","Temperature change","Meteorological year","1995","°C","0.831"
"Temperature change","World","Temperature change","Meteorological year","1996","°C","0.354"
"Temperature change","World","Temperature change","Meteorological year","1997","°C","0.656"
"Temperature change","World","Temperature change","Meteorological year","1998","°C","0.992"
"Temperature change","World","Temperature change","Meteorological year","1999","°C","0.788"
"Temperature change","World","Temperature change","Meteorological year","2000","°C","0.735"
"Temperature change","World","Temperature change","Meteorological year","2001","°C","0.836"
"Temperature change","World","Temperature change","Meteorological year","2002","°C","1.018"
"Temperature change","World","Temperature change","Meteorological year","2003","°C","0.896"
"Temperature change","World","Temperature change","Meteorological year","2004","°C","0.914"
"Temperature change","World","Temperature change","Meteorological year","2005","°C","1.103"
"Temperature change","World","Temperature change","Meteorological year","2006","°C","1.001"
"Temperature change","World","Temperature change","Meteorological year","2007","°C","1.198"
"Temperature change","World","Temperature change","Meteorological year","2008","°C","0.938"
"Temperature change","World","Temperature change","Meteorological year","2009","°C","0.967"
"Temperature change","World","Temperature change","Meteorological year","2010","°C","1.228"
"Temperature change","World","Temperature change","Meteorological year","2011","°C","0.923"
"Temperature change","World","Temperature change","Meteorological year","2012","°C","1.081"
"Temperature change","World","Temperature change","Meteorological year","2013","°C","1.021"
"Temperature change","World","Temperature change","Meteorological year","2014","°C","1.052"
"Temperature change","World","Temperature change","Meteorological year","2015","°C","1.419"
"Temperature change","World","Temperature change","Meteorological year","2016","°C","1.674"
"Temperature change","World","Temperature change","Meteorological year","2017","°C","1.44"
"Temperature change","World","Temperature change","Meteorological year","2018","°C","1.301"
"Temperature change","World","Temperature change","Meteorological year","2019","°C","1.473"
"Temperature change","World","Standard Deviation","Meteorological year","1961","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1962","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1963","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1964","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1965","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1966","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1967","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1968","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1969","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1970","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1971","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1972","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1973","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1974","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1975","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1976","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1977","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1978","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1979","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1980","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1981","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1982","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1983","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1984","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1985","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1986","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1987","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1988","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1989","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1990","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1991","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1992","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1993","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1994","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1995","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1996","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1997","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1998","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","1999","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2000","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2001","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2002","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2003","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2004","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2005","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2006","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2007","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2008","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2009","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2010","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2011","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2012","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2013","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2014","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2015","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2016","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2017","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2018","°C","0.201"
"Temperature change","World","Standard Deviation","Meteorological year","2019","°C","0.201"
"Temperature change","Africa","Temperature change","Meteorological year","1961","°C","-0.017"
"Temperature change","Africa","Temperature change","Meteorological year","1962","°C","-0.04"
"Temperature change","Africa","Temperature change","Meteorological year","1963","°C","0.064"
"Temperature change","Africa","Temperature change","Meteorological year","1964","°C","-0.153"
"Temperature change","Africa","Temperature change","Meteorological year","1965","°C","-0.197"
"Temperature change","Africa","Temperature change","Meteorological year","1966","°C","0.138"
"Temperature change","Africa","Temperature change","Meteorological year","1967","°C","-0.209"
"Temperature change","Africa","Temperature change","Meteorological year","1968","°C","-0.218"
"Temperature change","Africa","Temperature change","Meteorological year","1969","°C","0.354"
"Temperature change","Africa","Temperature change","Meteorological year","1970","°C","0.221"
"Temperature change","Africa","Temperature change","Meteorological year","1971","°C","-0.208"
"Temperature change","Africa","Temperature change","Meteorological year","1972","°C","-0.002"
"Temperature change","Africa","Temperature change","Meteorological year","1973","°C","0.377"
"Temperature change","Africa","Temperature change","Meteorological year","1974","°C","-0.237"
"Temperature change","Africa","Temperature change","Meteorological year","1975","°C","-0.23"
"Temperature change","Africa","Temperature change","Meteorological year","1976","°C","-0.26"
"Temperature change","Africa","Temperature change","Meteorological year","1977","°C","0.232"
"Temperature change","Africa","Temperature change","Meteorological year","1978","°C","0.077"
"Temperature change","Africa","Temperature change","Meteorological year","1979","°C","0.444"
"Temperature change","Africa","Temperature change","Meteorological year","1980","°C","0.366"
"Temperature change","Africa","Temperature change","Meteorological year","1981","°C","0.104"
"Temperature change","Africa","Temperature change","Meteorological year","1982","°C","0.217"
"Temperature change","Africa","Temperature change","Meteorological year","1983","°C","0.408"
"Temperature change","Africa","Temperature change","Meteorological year","1984","°C","0.333"
"Temperature change","Africa","Temperature change","Meteorological year","1985","°C","0.301"
"Temperature change","Africa","Temperature change","Meteorological year","1986","°C","0.283"
"Temperature change","Africa","Temperature change","Meteorological year","1987","°C","0.671"
"Temperature change","Africa","Temperature change","Meteorological year","1988","°C","0.608"
"Temperature change","Africa","Temperature change","Meteorological year","1989","°C","-0.019"
"Temperature change","Africa","Temperature change","Meteorological year","1990","°C","0.574"
"Temperature change","Africa","Temperature change","Meteorological year","1991","°C","0.386"
"Temperature change","Africa","Temperature change","Meteorological year","1992","°C","0.112"
"Temperature change","Africa","Temperature change","Meteorological year","1993","°C","0.407"
"Temperature change","Africa","Temperature change","Meteorological year","1994","°C","0.418"
"Temperature change","Africa","Temperature change","Meteorological year","1995","°C","0.58"
"Temperature change","Africa","Temperature change","Meteorological year","1996","°C","0.551"
"Temperature change","Africa","Temperature change","Meteorological year","1997","°C","0.588"
"Temperature change","Africa","Temperature change","Meteorological year","1998","°C","0.961"
"Temperature change","Africa","Temperature change","Meteorological year","1999","°C","0.666"
"Temperature change","Africa","Temperature change","Meteorological year","2000","°C","0.496"
"Temperature change","Africa","Temperature change","Meteorological year","2001","°C","0.677"
"Temperature change","Africa","Temperature change","Meteorological year","2002","°C","0.894"
"Temperature change","Africa","Temperature change","Meteorological year","2003","°C","0.999"
"Temperature change","Africa","Temperature change","Meteorological year","2004","°C","0.825"
"Temperature change","Africa","Temperature change","Meteorological year","2005","°C","1.1"
"Temperature change","Africa","Temperature change","Meteorological year","2006","°C","0.94"
"Temperature change","Africa","Temperature change","Meteorological year","2007","°C","0.818"
"Temperature change","Africa","Temperature change","Meteorological year","2008","°C","0.754"
"Temperature change","Africa","Temperature change","Meteorological year","2009","°C","1.011"
"Temperature change","Africa","Temperature change","Meteorological year","2010","°C","1.541"
"Temperature change","Africa","Temperature change","Meteorological year","2011","°C","0.949"
"Temperature change","Africa","Temperature change","Meteorological year","2012","°C","0.781"
"Temperature change","Africa","Temperature change","Meteorological year","2013","°C","1.014"
"Temperature change","Africa","Temperature change","Meteorological year","2014","°C","1.036"
"Temperature change","Africa","Temperature change","Meteorological year","2015","°C","1.208"
"Temperature change","Africa","Temperature change","Meteorological year","2016","°C","1.442"
"Temperature change","Africa","Temperature change","Meteorological year","2017","°C","1.224"
"Temperature change","Africa","Temperature change","Meteorological year","2018","°C","1.222"
"Temperature change","Africa","Temperature change","Meteorological year","2019","°C","1.415"
"Temperature change","Africa","Standard Deviation","Meteorological year","1961","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1962","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1963","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1964","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1965","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1966","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1967","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1968","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1969","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1970","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1971","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1972","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1973","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1974","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1975","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1976","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1977","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1978","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1979","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1980","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1981","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1982","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1983","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1984","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1985","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1986","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1987","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1988","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1989","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1990","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1991","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1992","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1993","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1994","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1995","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1996","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1997","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1998","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","1999","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2000","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2001","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2002","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2003","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2004","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2005","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2006","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2007","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2008","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2009","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2010","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2011","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2012","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2013","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2014","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2015","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2016","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2017","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2018","°C","0.24"
"Temperature change","Africa","Standard Deviation","Meteorological year","2019","°C","0.24"
"Temperature change","Northern America","Temperature change","Meteorological year","1961","°C","0.017"
"Temperature change","Northern America","Temperature change","Meteorological year","1962","°C","-0.058"
"Temperature change","Northern America","Temperature change","Meteorological year","1963","°C","0.372"
"Temperature change","Northern America","Temperature change","Meteorological year","1964","°C","-0.285"
"Temperature change","Northern America","Temperature change","Meteorological year","1965","°C","-0.594"
"Temperature change","Northern America","Temperature change","Meteorological year","1966","°C","-0.185"
"Temperature change","Northern America","Temperature change","Meteorological year","1967","°C","-0.195"
"Temperature change","Northern America","Temperature change","Meteorological year","1968","°C","0.196"
"Temperature change","Northern America","Temperature change","Meteorological year","1969","°C","-0.138"
"Temperature change","Northern America","Temperature change","Meteorological year","1970","°C","0.194"
"Temperature change","Northern America","Temperature change","Meteorological year","1971","°C","-0.227"
"Temperature change","Northern America","Temperature change","Meteorological year","1972","°C","-1.028"
"Temperature change","Northern America","Temperature change","Meteorological year","1973","°C","0.128"
"Temperature change","Northern America","Temperature change","Meteorological year","1974","°C","-0.376"
"Temperature change","Northern America","Temperature change","Meteorological year","1975","°C","-0.093"
"Temperature change","Northern America","Temperature change","Meteorological year","1976","°C","-0.021"
"Temperature change","Northern America","Temperature change","Meteorological year","1977","°C","0.746"
"Temperature change","Northern America","Temperature change","Meteorological year","1978","°C","-0.29"
"Temperature change","Northern America","Temperature change","Meteorological year","1979","°C","-0.243"
"Temperature change","Northern America","Temperature change","Meteorological year","1980","°C","0.675"
"Temperature change","Northern America","Temperature change","Meteorological year","1981","°C","1.193"
"Temperature change","Northern America","Temperature change","Meteorological year","1982","°C","-0.508"
"Temperature change","Northern America","Temperature change","Meteorological year","1983","°C","0.471"
"Temperature change","Northern America","Temperature change","Meteorological year","1984","°C","0.038"
"Temperature change","Northern America","Temperature change","Meteorological year","1985","°C","-0.144"
"Temperature change","Northern America","Temperature change","Meteorological year","1986","°C","0.302"
"Temperature change","Northern America","Temperature change","Meteorological year","1987","°C","1.11"
"Temperature change","Northern America","Temperature change","Meteorological year","1988","°C","0.839"
"Temperature change","Northern America","Temperature change","Meteorological year","1989","°C","0.147"
"Temperature change","Northern America","Temperature change","Meteorological year","1990","°C","0.363"
"Temperature change","Northern America","Temperature change","Meteorological year","1991","°C","0.419"
"Temperature change","Northern America","Temperature change","Meteorological year","1992","°C","0.226"
"Temperature change","Northern America","Temperature change","Meteorological year","1993","°C","0.154"
"Temperature change","Northern America","Temperature change","Meteorological year","1994","°C","0.451"
"Temperature change","Northern America","Temperature change","Meteorological year","1995","°C","0.766"
"Temperature change","Northern America","Temperature change","Meteorological year","1996","°C","-0.055"
"Temperature change","Northern America","Temperature change","Meteorological year","1997","°C","0.403"
"Temperature change","Northern America","Temperature change","Meteorological year","1998","°C","1.864"
"Temperature change","Northern America","Temperature change","Meteorological year","1999","°C","1.219"
"Temperature change","Northern America","Temperature change","Meteorological year","2000","°C","1.141"
"Temperature change","Northern America","Temperature change","Meteorological year","2001","°C","1.102"
"Temperature change","Northern America","Temperature change","Meteorological year","2002","°C","0.757"
"Temperature change","Northern America","Temperature change","Meteorological year","2003","°C","1.147"
"Temperature change","Northern America","Temperature change","Meteorological year","2004","°C","0.696"
"Temperature change","Northern America","Temperature change","Meteorological year","2005","°C","1.235"
"Temperature change","Northern America","Temperature change","Meteorological year","2006","°C","1.692"
"Temperature change","Northern America","Temperature change","Meteorological year","2007","°C","1.237"
"Temperature change","Northern America","Temperature change","Meteorological year","2008","°C","0.537"
"Temperature change","Northern America","Temperature change","Meteorological year","2009","°C","0.473"
"Temperature change","Northern America","Temperature change","Meteorological year","2010","°C","1.826"
"Temperature change","Northern America","Temperature change","Meteorological year","2011","°C","1.002"
"Temperature change","Northern America","Temperature change","Meteorological year","2012","°C","1.786"
"Temperature change","Northern America","Temperature change","Meteorological year","2013","°C","0.902"
"Temperature change","Northern America","Temperature change","Meteorological year","2014","°C","0.389"
"Temperature change","Northern America","Temperature change","Meteorological year","2015","°C","1.33"
"Temperature change","Northern America","Temperature change","Meteorological year","2016","°C","2.273"
"Temperature change","Northern America","Temperature change","Meteorological year","2017","°C","1.426"
"Temperature change","Northern America","Temperature change","Meteorological year","2018","°C","0.873"
"Temperature change","Northern America","Temperature change","Meteorological year","2019","°C","1.179"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1961","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1962","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1963","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1964","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1965","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1966","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1967","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1968","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1969","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1970","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1971","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1972","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1973","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1974","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1975","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1976","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1977","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1978","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1979","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1980","°C","0.402"
"Temperature change","Northern America","Standard Deviation","Meteorological year","1981","°C","0.402"
