Domain,Area,Element,Months,Year,Unit,Value
"Temperature change","Asia","Temperature change","Meteorological year","1989","°C","0.259"
"Temperature change","Asia","Temperature change","Meteorological year","1990","°C","0.527"
"Temperature change","Asia","Temperature change","Meteorological year","1991","°C","0.39"
"Temperature change","Asia","Temperature change","Meteorological year","1992","°C","-0.059"
"Temperature change","Asia","Temperature change","Meteorological year","1993","°C","0.073"
"Temperature change","Asia","Temperature change","Meteorological year","1994","°C","0.522"
"Temperature change","Asia","Temperature change","Meteorological year","1995","°C","0.616"
"Temperature change","Asia","Temperature change","Meteorological year","1996","°C","0.173"
"Temperature change","Asia","Temperature change","Meteorological year","1997","°C","0.614"
"Temperature change","Asia","Temperature change","Meteorological year","1998","°C","1.047"
"Temperature change","Asia","Temperature change","Meteorological year","1999","°C","1.091"
"Temperature change","Asia","Temperature change","Meteorological year","2000","°C","0.68"
"Temperature change","Asia","Temperature change","Meteorological year","2001","°C","1.019"
"Temperature change","Asia","Temperature change","Meteorological year","2002","°C","1.16"
"Temperature change","Asia","Temperature change","Meteorological year","2003","°C","0.644"
"Temperature change","Asia","Temperature change","Meteorological year","2004","°C","1.088"
"Temperature change","Asia","Temperature change","Meteorological year","2005","°C","0.862"
"Temperature change","Asia","Temperature change","Meteorological year","2006","°C","1.101"
"Temperature change","Asia","Temperature change","Meteorological year","2007","°C","1.182"
"Temperature change","Asia","Temperature change","Meteorological year","2008","°C","0.873"
"Temperature change","Asia","Temperature change","Meteorological year","2009","°C","1.075"
"Temperature change","Asia","Temperature change","Meteorological year","2010","°C","1.251"
"Temperature change","Asia","Temperature change","Meteorological year","2011","°C","0.701"
"Temperature change","Asia","Temperature change","Meteorological year","2012","°C","0.693"
"Temperature change","Asia","Temperature change","Meteorological year","2013","°C","1.054"
"Temperature change","Asia","Temperature change","Meteorological year","2014","°C","0.909"
"Temperature change","Asia","Temperature change","Meteorological year","2015","°C","1.284"
"Temperature change","Asia","Temperature change","Meteorological year","2016","°C","1.457"
"Temperature change","Asia","Temperature change","Meteorological year","2017","°C","1.464"
"Temperature change","Asia","Temperature change","Meteorological year","2018","°C","1.343"
"Temperature change","Asia","Temperature change","Meteorological year","2019","°C","1.369"
"Temperature change","Asia","Standard Deviation","Meteorological year","1961","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1962","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1963","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1964","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1965","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1966","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1967","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1968","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1969","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1970","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1971","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1972","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1973","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1974","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1975","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1976","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1977","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1978","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1979","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1980","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1981","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1982","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1983","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1984","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1985","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1986","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1987","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1988","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1989","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1990","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1991","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1992","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1993","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1994","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1995","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1996","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1997","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1998","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","1999","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2000","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2001","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2002","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2003","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2004","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2005","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2006","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2007","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2008","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2009","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2010","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2011","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2012","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2013","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2014","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2015","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2016","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2017","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2018","°C","0.225"
"Temperature change","Asia","Standard Deviation","Meteorological year","2019","°C","0.225"
"Temperature change","Europe","Temperature change","Meteorological year","1961","°C","0.874"
"Temperature change","Europe","Temperature change","Meteorological year","1962","°C","0.3"
"Temperature change","Europe","Temperature change","Meteorological year","1963","°C","0.103"
"Temperature change","Europe","Temperature change","Meteorological year","1964","°C","-0.523"
"Temperature change","Europe","Temperature change","Meteorological year","1965","°C","-0.43"
"Temperature change","Europe","Temperature change","Meteorological year","1966","°C","0.724"
"Temperature change","Europe","Temperature change","Meteorological year","1967","°C","0.174"
"Temperature change","Europe","Temperature change","Meteorological year","1968","°C","0.048"
"Temperature change","Europe","Temperature change","Meteorological year","1969","°C","-1.01"
"Temperature change","Europe","Temperature change","Meteorological year","1970","°C","0.189"
"Temperature change","Europe","Temperature change","Meteorological year","1971","°C","0.264"
"Temperature change","Europe","Temperature change","Meteorological year","1972","°C","-0.148"
"Temperature change","Europe","Temperature change","Meteorological year","1973","°C","0.173"
"Temperature change","Europe","Temperature change","Meteorological year","1974","°C","0.02"
"Temperature change","Europe","Temperature change","Meteorological year","1975","°C","0.838"
"Temperature change","Europe","Temperature change","Meteorological year","1976","°C","-0.559"
"Temperature change","Europe","Temperature change","Meteorological year","1977","°C","0.189"
"Temperature change","Europe","Temperature change","Meteorological year","1978","°C","-0.166"
"Temperature change","Europe","Temperature change","Meteorological year","1979","°C","0.138"
"Temperature change","Europe","Temperature change","Meteorological year","1980","°C","-0.068"
"Temperature change","Europe","Temperature change","Meteorological year","1981","°C","0.662"
"Temperature change","Europe","Temperature change","Meteorological year","1982","°C","0.111"
"Temperature change","Europe","Temperature change","Meteorological year","1983","°C","0.934"
"Temperature change","Europe","Temperature change","Meteorological year","1984","°C","0.271"
"Temperature change","Europe","Temperature change","Meteorological year","1985","°C","-0.605"
"Temperature change","Europe","Temperature change","Meteorological year","1986","°C","0.259"
"Temperature change","Europe","Temperature change","Meteorological year","1987","°C","-0.562"
"Temperature change","Europe","Temperature change","Meteorological year","1988","°C","0.494"
"Temperature change","Europe","Temperature change","Meteorological year","1989","°C","1.035"
"Temperature change","Europe","Temperature change","Meteorological year","1990","°C","1.257"
"Temperature change","Europe","Temperature change","Meteorological year","1991","°C","0.597"
"Temperature change","Europe","Temperature change","Meteorological year","1992","°C","0.472"
"Temperature change","Europe","Temperature change","Meteorological year","1993","°C","0.75"
"Temperature change","Europe","Temperature change","Meteorological year","1994","°C","0.698"
"Temperature change","Europe","Temperature change","Meteorological year","1995","°C","1.83"
"Temperature change","Europe","Temperature change","Meteorological year","1996","°C","0.57"
"Temperature change","Europe","Temperature change","Meteorological year","1997","°C","1.096"
"Temperature change","Europe","Temperature change","Meteorological year","1998","°C","0.187"
"Temperature change","Europe","Temperature change","Meteorological year","1999","°C","0.588"
"Temperature change","Europe","Temperature change","Meteorological year","2000","°C","1.342"
"Temperature change","Europe","Temperature change","Meteorological year","2001","°C","0.953"
"Temperature change","Europe","Temperature change","Meteorological year","2002","°C","1.505"
"Temperature change","Europe","Temperature change","Meteorological year","2003","°C","0.972"
"Temperature change","Europe","Temperature change","Meteorological year","2004","°C","1.282"
"Temperature change","Europe","Temperature change","Meteorological year","2005","°C","1.537"
"Temperature change","Europe","Temperature change","Meteorological year","2006","°C","0.678"
"Temperature change","Europe","Temperature change","Meteorological year","2007","°C","2.31"
"Temperature change","Europe","Temperature change","Meteorological year","2008","°C","2.024"
"Temperature change","Europe","Temperature change","Meteorological year","2009","°C","1.239"
"Temperature change","Europe","Temperature change","Meteorological year","2010","°C","0.817"
"Temperature change","Europe","Temperature change","Meteorological year","2011","°C","1.548"
"Temperature change","Europe","Temperature change","Meteorological year","2012","°C","1.789"
"Temperature change","Europe","Temperature change","Meteorological year","2013","°C","1.118"
"Temperature change","Europe","Temperature change","Meteorological year","2014","°C","1.807"
"Temperature change","Europe","Temperature change","Meteorological year","2015","°C","2.106"
"Temperature change","Europe","Temperature change","Meteorological year","2016","°C","2.286"
"Temperature change","Europe","Temperature change","Meteorological year","2017","°C","1.959"
"Temperature change","Europe","Temperature change","Meteorological year","2018","°C","2.009"
"Temperature change","Europe","Temperature change","Meteorological year","2019","°C","2.116"
"Temperature change","Europe","Standard Deviation","Meteorological year","1961","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1962","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1963","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1964","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1965","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1966","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1967","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1968","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1969","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1970","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1971","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1972","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1973","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1974","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1975","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1976","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1977","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1978","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1979","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1980","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1981","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1982","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1983","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1984","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1985","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1986","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1987","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1988","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1989","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1990","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1991","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1992","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1993","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1994","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1995","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1996","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1997","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1998","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1999","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2000","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2001","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2002","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2003","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2004","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2005","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2006","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2007","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2008","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2009","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2010","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2011","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2012","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2013","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2014","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2015","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2016","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2017","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2018","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2019","°C","0.464"
"Temperature change","Oceania","Temperature change","Meteorological year","1961","°C","0.116"
"Temperature change","Oceania","Temperature change","Meteorological year","1962","°C","0.14"
"Temperature change","Oceania","Temperature change","Meteorological year","1963","°C","-0.118"
"Temperature change","Oceania","Temperature change","Meteorological year","1964","°C","-0.03"
"Temperature change","Oceania","Temperature change","Meteorological year","1965","°C","0.067"
"Temperature change","Oceania","Temperature change","Meteorological year","1966","°C","-0.231"
"Temperature change","Oceania","Temperature change","Meteorological year","1967","°C","-0.104"
"Temperature change","Oceania","Temperature change","Meteorological year","1968","°C","-0.195"
"Temperature change","Oceania","Temperature change","Meteorological year","1969","°C","0.096"
"Temperature change","Oceania","Temperature change","Meteorological year","1970","°C","0.032"
"Temperature change","Oceania","Temperature change","Meteorological year","1971","°C","-0.016"
"Temperature change","Oceania","Temperature change","Meteorological year","1972","°C","0.072"
"Temperature change","Oceania","Temperature change","Meteorological year","1973","°C","0.795"
"Temperature change","Oceania","Temperature change","Meteorological year","1974","°C","-0.297"
"Temperature change","Oceania","Temperature change","Meteorological year","1975","°C","0.077"
"Temperature change","Oceania","Temperature change","Meteorological year","1976","°C","-0.484"
"Temperature change","Oceania","Temperature change","Meteorological year","1977","°C","0.156"
"Temperature change","Oceania","Temperature change","Meteorological year","1978","°C","0.095"
"Temperature change","Oceania","Temperature change","Meteorological year","1979","°C","0.351"
"Temperature change","Oceania","Temperature change","Meteorological year","1980","°C","0.792"
"Temperature change","Oceania","Temperature change","Meteorological year","1981","°C","0.444"
"Temperature change","Oceania","Temperature change","Meteorological year","1982","°C","0.135"
"Temperature change","Oceania","Temperature change","Meteorological year","1983","°C","0.559"
"Temperature change","Oceania","Temperature change","Meteorological year","1984","°C","-0.151"
"Temperature change","Oceania","Temperature change","Meteorological year","1985","°C","0.292"
"Temperature change","Oceania","Temperature change","Meteorological year","1986","°C","0.327"
"Temperature change","Oceania","Temperature change","Meteorological year","1987","°C","0.306"
"Temperature change","Oceania","Temperature change","Meteorological year","1988","°C","0.875"
"Temperature change","Oceania","Temperature change","Meteorological year","1989","°C","0.143"
"Temperature change","Oceania","Temperature change","Meteorological year","1990","°C","0.488"
"Temperature change","Oceania","Temperature change","Meteorological year","1991","°C","0.716"
"Temperature change","Oceania","Temperature change","Meteorological year","1992","°C","0.202"
"Temperature change","Oceania","Temperature change","Meteorological year","1993","°C","0.378"
"Temperature change","Oceania","Temperature change","Meteorological year","1994","°C","0.163"
"Temperature change","Oceania","Temperature change","Meteorological year","1995","°C","0.367"
"Temperature change","Oceania","Temperature change","Meteorological year","1996","°C","0.518"
"Temperature change","Oceania","Temperature change","Meteorological year","1997","°C","0.289"
"Temperature change","Oceania","Temperature change","Meteorological year","1998","°C","1.038"
"Temperature change","Oceania","Temperature change","Meteorological year","1999","°C","0.547"
"Temperature change","Oceania","Temperature change","Meteorological year","2000","°C","0.143"
"Temperature change","Oceania","Temperature change","Meteorological year","2001","°C","0.342"
"Temperature change","Oceania","Temperature change","Meteorological year","2002","°C","0.703"
"Temperature change","Oceania","Temperature change","Meteorological year","2003","°C","0.771"
"Temperature change","Oceania","Temperature change","Meteorological year","2004","°C","0.632"
"Temperature change","Oceania","Temperature change","Meteorological year","2005","°C","1.091"
"Temperature change","Oceania","Temperature change","Meteorological year","2006","°C","0.614"
"Temperature change","Oceania","Temperature change","Meteorological year","2007","°C","0.824"
"Temperature change","Oceania","Temperature change","Meteorological year","2008","°C","0.543"
"Temperature change","Oceania","Temperature change","Meteorological year","2009","°C","0.9"
"Temperature change","Oceania","Temperature change","Meteorological year","2010","°C","0.666"
"Temperature change","Oceania","Temperature change","Meteorological year","2011","°C","0.212"
"Temperature change","Oceania","Temperature change","Meteorological year","2012","°C","0.276"
"Temperature change","Oceania","Temperature change","Meteorological year","2013","°C","1.396"
"Temperature change","Oceania","Temperature change","Meteorological year","2014","°C","1.083"
"Temperature change","Oceania","Temperature change","Meteorological year","2015","°C","0.997"
"Temperature change","Oceania","Temperature change","Meteorological year","2016","°C","1.163"
"Temperature change","Oceania","Temperature change","Meteorological year","2017","°C","1.11"
"Temperature change","Oceania","Temperature change","Meteorological year","2018","°C","1.096"
"Temperature change","Oceania","Temperature change","Meteorological year","2019","°C","1.37"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1961","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1962","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1963","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1964","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1965","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1966","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1967","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1968","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1969","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1970","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1971","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1972","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1973","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1974","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1975","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1976","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1977","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1978","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1979","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1980","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1981","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1982","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1983","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1984","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1985","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1986","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1987","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1988","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1989","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1990","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1991","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1992","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1993","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1994","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1995","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1996","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1997","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1998","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1999","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2000","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2001","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2002","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2003","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2004","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2005","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2006","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2007","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2008","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2009","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2010","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2011","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2012","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2013","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2014","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2015","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2016","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2017","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2018","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2019","°C","0.31"
